number,value,datetime_start,datetime_complete,duration,params_--d_model,params_--dropout,params_--learning_rate,params_--n_layer,params_--per_device_train_batch_size,system_attrs_fail_reason,state
0,0.06577520115062448,2020-09-12 23:55:51.925751,2020-09-13 10:09:37.051412,0 days 10:13:45.125661000,128,0.3,0.017468275378205205,3,64,,COMPLETE
1,0.1182115346180684,2020-09-12 23:55:51.941666,2020-09-13 01:23:21.335747,0 days 01:27:29.394081000,128,0.1,0.0007780687598493185,3,128,,COMPLETE
2,0.10206766710844713,2020-09-12 23:55:51.958780,2020-09-13 10:29:50.565075,0 days 10:33:58.606295000,128,0.1,0.02115029745449753,2,64,,COMPLETE
3,0.09606668913057279,2020-09-12 23:55:51.960279,2020-09-13 01:22:17.943148,0 days 01:26:25.982869000,128,0.3,0.0005097825539161658,4,128,,COMPLETE
4,0.14141199467834556,2020-09-12 23:55:51.979768,2020-09-13 09:36:10.944594,0 days 09:40:18.964826000,128,0.0,0.0017333249025585531,3,128,,COMPLETE
5,0.04840062976477589,2020-09-13 01:22:18.014423,2020-09-13 11:34:14.748526,0 days 10:11:56.734103000,64,0.2,0.0772251579383971,3,128,,COMPLETE
6,0.0681302901893481,2020-09-13 01:23:21.389205,2020-09-13 11:23:23.485685,0 days 10:00:02.096480000,128,0.3,0.014638759400900224,4,256,,COMPLETE
7,0.14692982386106784,2020-09-13 09:36:11.078593,2020-09-13 19:54:59.222343,0 days 10:18:48.143750000,128,0.2,0.0021538626283728415,3,64,,COMPLETE
8,0.07147635067649705,2020-09-13 10:09:37.116484,2020-09-13 11:36:43.735677,0 days 01:27:06.619193000,128,0.0,0.013293442880969532,4,128,,COMPLETE
9,0.04859904070940572,2020-09-13 10:29:50.600624,2020-09-13 21:16:46.859856,0 days 10:46:56.259232000,64,0.3,0.055737762997456614,3,128,,COMPLETE
10,0.07933355300427238,2020-09-13 11:23:23.521300,2020-09-13 12:32:06.769286,0 days 01:08:43.247986000,32,0.3,0.000644523322509523,1,256,,COMPLETE
11,0.1347882031733206,2020-09-13 11:34:14.803827,2020-09-13 20:23:33.536554,0 days 08:49:18.732727000,128,0.0,0.0202685845541058,2,128,,COMPLETE
12,0.08144769015916195,2020-09-13 11:36:43.777581,2020-09-13 12:54:32.627991,0 days 01:17:48.850410000,32,0.3,0.0010242600890168544,3,128,,COMPLETE
13,0.09604555510980785,2020-09-13 12:32:06.802869,2020-09-13 22:29:30.794507,0 days 09:57:23.991638000,64,0.0,0.0015171239403118382,4,256,,COMPLETE
14,0.1757415877601066,2020-09-13 12:54:32.673314,2020-09-13 23:09:43.216096,0 days 10:15:10.542782000,64,0.0,0.0020584967141646076,1,128,,COMPLETE
15,0.1583934251264632,2020-09-13 19:54:59.505159,2020-09-14 07:17:16.430609,0 days 11:22:16.925450000,64,0.0,0.0024575104994530323,2,64,,COMPLETE
16,0.15095677328327484,2020-09-13 20:23:33.580578,2020-09-14 07:35:17.597860,0 days 11:11:44.017282000,64,0.2,0.0021811644290217276,2,64,,COMPLETE
17,0.20276438698330645,2020-09-13 21:16:46.898690,2020-09-13 23:09:15.526678,0 days 01:52:28.627988000,128,0.2,0.0021288091163715835,2,64,,COMPLETE
18,0.21272254477840208,2020-09-13 22:29:30.832705,2020-09-14 08:36:31.161772,0 days 10:07:00.329067000,128,0.2,0.002747042240178122,2,64,,COMPLETE
19,0.16819377533332008,2020-09-13 23:09:15.602632,2020-09-14 00:48:15.211115,0 days 01:38:59.608483000,32,0.2,0.0029116915099298463,1,64,,COMPLETE
20,0.24243938161073064,2020-09-13 23:09:43.250706,2020-09-14 00:49:36.648788,0 days 01:39:53.398082000,64,0.2,0.003076155217143252,1,64,,COMPLETE
21,0.2553306833885462,2020-09-14 00:48:15.249906,2020-09-14 07:46:39.507185,0 days 06:58:24.257279000,64,0.1,0.004431332009945415,1,64,,COMPLETE
22,,2020-09-14 00:49:36.684964,2020-09-14 08:50:29.260158,0 days 08:00:52.575194000,64,0.1,0.005726851493536301,2,64,"Trial 22 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
23,0.15967920010261558,2020-09-14 07:17:16.629025,2020-09-14 10:03:48.304325,0 days 02:46:31.675300000,64,0.1,0.005057024731120449,2,64,,COMPLETE
24,0.25674097493803033,2020-09-14 07:35:17.643040,2020-09-14 09:12:30.700054,0 days 01:37:13.057014000,64,0.1,0.004669083566399349,1,64,,COMPLETE
25,0.27646994724728524,2020-09-14 07:46:39.545420,2020-09-14 09:21:45.099298,0 days 01:35:05.553878000,64,0.1,0.00561773196863479,1,64,,COMPLETE
26,0.25035833971610133,2020-09-14 08:36:31.206682,2020-09-14 10:11:21.704215,0 days 01:34:50.497533000,64,0.1,0.004639061634389265,1,64,,COMPLETE
27,0.25691764659813804,2020-09-14 08:50:29.281908,2020-09-14 10:27:17.349561,0 days 01:36:48.067653000,64,0.1,0.004929269447890797,1,64,,COMPLETE
28,0.27194614157343394,2020-09-14 09:12:30.957849,2020-09-14 10:59:26.565185,0 days 01:46:55.607336000,64,0.1,0.005443947132944625,1,64,,COMPLETE
29,0.2960277604363342,2020-09-14 09:21:45.271958,2020-09-14 11:01:03.945947,0 days 01:39:18.673989000,64,0.1,0.007574316012708344,1,64,,COMPLETE
30,0.27972663541908627,2020-09-14 10:03:48.408503,2020-09-14 11:39:56.755541,0 days 01:36:08.347038000,64,0.1,0.006401661391695466,1,64,,COMPLETE
31,0.3007259727062233,2020-09-14 10:11:21.747713,2020-09-14 11:51:31.573710,0 days 01:40:09.825997000,64,0.1,0.007939321270016042,1,64,,COMPLETE
32,0.30615202689385457,2020-09-14 10:27:17.456184,2020-09-14 12:04:51.329638,0 days 01:37:33.873454000,64,0.1,0.00871116849840638,1,64,,COMPLETE
33,0.3030858540850206,2020-09-14 10:59:26.632143,2020-09-14 12:43:30.217010,0 days 01:44:03.584867000,64,0.1,0.008537884030727314,1,64,,COMPLETE
34,0.30893125709176744,2020-09-14 11:01:03.990053,2020-09-14 12:40:49.647611,0 days 01:39:45.657558000,64,0.1,0.010016948101790633,1,64,,COMPLETE
35,0.3028494589945288,2020-09-14 11:39:56.790270,2020-09-14 13:15:41.555737,0 days 01:35:44.765467000,64,0.1,0.008859952842152869,1,64,,COMPLETE
36,0.3084111553626966,2020-09-14 11:51:31.627161,2020-09-14 13:42:58.916854,0 days 01:51:27.289693000,64,0.1,0.009017174303920772,1,64,,COMPLETE
37,0.31826023134483444,2020-09-14 12:04:51.365575,2020-09-14 13:41:47.178344,0 days 01:36:55.812769000,64,0.1,0.009488576603777513,1,64,,COMPLETE
38,0.30395684738868406,2020-09-14 12:40:49.685317,2020-09-14 14:18:23.345270,0 days 01:37:33.659953000,64,0.1,0.009249288321599517,1,64,,COMPLETE
39,0.31060793276402027,2020-09-14 12:43:30.261136,2020-09-14 14:24:37.181856,0 days 01:41:06.920720000,64,0.1,0.009117334151965186,1,64,,COMPLETE
40,0.17370588529658668,2020-09-14 13:15:41.610544,2020-09-14 14:54:14.589702,0 days 01:38:32.979158000,64,0.1,0.01099669986297823,2,64,,COMPLETE
41,0.12660687589085526,2020-09-14 13:41:47.297069,2020-09-14 15:19:20.935212,0 days 01:37:33.638143000,64,0.1,0.029463588404015622,2,64,,COMPLETE
42,0.08866490037067787,2020-09-14 13:42:59.009659,2020-09-14 14:52:03.009190,0 days 01:09:03.999531000,64,0.1,0.028921525230346502,2,256,,COMPLETE
43,0.0990435948524661,2020-09-14 14:18:23.428583,2020-09-14 15:19:29.974945,0 days 01:01:06.546362000,32,0.0,0.027603394893358592,2,256,,COMPLETE
44,0.09467472322497024,2020-09-14 14:24:37.213290,2020-09-14 15:28:48.782803,0 days 01:04:11.569513000,32,0.0,0.03241160949884685,2,256,,COMPLETE
45,0.07726039624015371,2020-09-14 14:52:03.049507,2020-09-14 16:37:19.825963,0 days 01:45:16.776456000,32,0.0,0.027167188696239495,2,64,,COMPLETE
46,0.22079292979708348,2020-09-14 14:54:14.633012,2020-09-14 16:29:15.001489,0 days 01:35:00.368477000,64,0.1,0.0286209148265646,1,64,,COMPLETE
47,0.3114183337934869,2020-09-14 15:19:20.973793,2020-09-14 16:57:00.088395,0 days 01:37:39.114602000,64,0.0,0.014927038841580295,1,64,,COMPLETE
48,0.30625612186327483,2020-09-14 15:19:30.005827,2020-09-14 16:54:51.312635,0 days 01:35:21.306808000,64,0.1,0.014888325959633039,1,64,,COMPLETE
49,0.29340934224948095,2020-09-14 15:28:48.816860,2020-09-14 17:09:30.938721,0 days 01:40:42.121861000,64,0.1,0.015347050634161823,1,64,,COMPLETE
50,0.30549409653664006,2020-09-14 16:29:15.048277,2020-09-14 18:03:16.623864,0 days 01:34:01.575587000,64,0.1,0.014785032974324737,1,64,,COMPLETE
51,0.30403235584866733,2020-09-14 16:37:19.862206,2020-09-14 18:24:37.745621,0 days 01:47:17.883415000,64,0.1,0.014315942948848135,1,64,,COMPLETE
52,0.30160600477380844,2020-09-14 16:54:51.342937,2020-09-14 18:30:28.430148,0 days 01:35:37.087211000,64,0.2,0.015324337697434751,1,64,,COMPLETE
53,0.2711825804015591,2020-09-14 16:57:00.137229,2020-09-14 18:37:20.046233,0 days 01:40:19.909004000,64,0.0,0.01771237109424924,1,64,,COMPLETE
54,0.30962117604976835,2020-09-14 17:09:30.967216,2020-09-14 18:49:48.703211,0 days 01:40:17.735995000,64,0.0,0.011804455282077107,1,64,,COMPLETE
55,0.1730714604275691,2020-09-14 18:03:16.751192,2020-09-14 19:22:10.532463,0 days 01:18:53.781271000,64,0.0,0.04344474556009117,1,128,,COMPLETE
56,,2020-09-14 18:24:37.778868,2020-09-14 18:27:17.601995,0 days 00:02:39.823127000,64,0.0,0.018860284275520924,1,64,"Trial 56 failed, because the returned value from the objective function cannot be cast to float. Returned value is: None",FAIL
57,0.2732026120494496,2020-09-14 18:27:17.613316,2020-09-14 20:15:49.265492,0 days 01:48:31.652176000,64,0.0,0.01952085945413642,1,64,,COMPLETE
58,0.2651908624779746,2020-09-14 18:30:28.457223,2020-09-14 20:08:35.825408,0 days 01:38:07.368185000,64,0.0,0.0214258079422509,1,64,,COMPLETE
59,0.31498876783240026,2020-09-14 18:37:20.083024,2020-09-14 20:16:07.029602,0 days 01:38:46.946578000,64,0.0,0.01116807646493081,1,64,,COMPLETE
60,0.25531834836588146,2020-09-14 18:49:48.741247,2020-09-14 20:04:47.609029,0 days 01:14:58.867782000,64,0.0,0.011500017381983026,1,128,,COMPLETE
61,0.31878534901139827,2020-09-14 19:22:10.578782,2020-09-14 21:00:59.170075,0 days 01:38:48.591293000,64,0.0,0.01113832184072968,1,64,,COMPLETE
62,0.3356111957789891,2020-09-14 20:04:47.653373,2020-09-14 21:56:11.223125,0 days 01:51:23.569752000,128,0.0,0.011562390410269728,1,64,,COMPLETE
63,0.36393880797420275,2020-09-14 20:08:35.880318,2020-09-14 22:14:25.691355,0 days 02:05:49.811037000,128,0.0,0.003684822916586406,1,64,,COMPLETE
64,0.33547491968858306,2020-09-14 20:15:49.291356,2020-09-14 22:29:05.870141,0 days 02:13:16.578785000,128,0.2,0.011599420194565455,1,64,,COMPLETE
65,0.3607267796736329,2020-09-14 20:16:07.061387,2020-09-14 22:51:21.113347,0 days 02:35:14.051960000,128,0.0,0.011178877757733196,1,64,,COMPLETE
66,0.36199635551459863,2020-09-14 21:00:59.210274,2020-09-15 00:04:07.460483,0 days 03:03:08.250209000,128,0.0,0.003624907223780546,1,64,,COMPLETE
67,0.3210713979361973,2020-09-14 21:56:11.280851,2020-09-15 00:13:29.293223,0 days 02:17:18.012372000,128,0.0,0.012667953709811181,1,64,,COMPLETE
68,0.3611938719429566,2020-09-14 22:14:25.722256,2020-09-15 00:20:28.874041,0 days 02:06:03.151785000,128,0.0,0.0032905825663426093,1,64,,COMPLETE
69,0.37402201836621807,2020-09-14 22:29:05.921478,2020-09-15 00:50:20.750764,0 days 02:21:14.829286000,128,0.0,0.004033990292162369,1,64,,COMPLETE
70,0.40593791903338244,2020-09-14 22:51:21.147687,2020-09-15 02:15:19.046921,0 days 03:23:57.899234000,128,0.0,0.006295738683494308,1,64,,COMPLETE
71,0.31772345587057843,2020-09-15 00:04:07.515312,2020-09-15 02:07:48.756419,0 days 02:03:41.241107000,128,0.0,0.013012373202413911,1,64,,COMPLETE
72,0.3688652834713254,2020-09-15 00:13:29.326846,2020-09-15 02:13:29.246956,0 days 01:59:59.920110000,128,0.0,0.0038117634035855657,1,64,,COMPLETE
73,0.1506558463127223,2020-09-15 00:20:28.905771,2020-09-15 02:49:56.024640,0 days 02:29:27.118869000,128,0.0,0.004090002807700648,3,64,,COMPLETE
74,0.13696829493559945,2020-09-15 00:50:20.782101,2020-09-15 03:06:17.966997,0 days 02:15:57.184896000,128,0.0,0.003776864786819441,3,64,,COMPLETE
75,0.13225004731915538,2020-09-15 02:07:48.802127,2020-09-15 04:11:50.493502,0 days 02:04:01.691375000,128,0.0,0.003603064455306175,3,64,,COMPLETE
76,0.35470011498412674,2020-09-15 02:13:29.283542,2020-09-15 04:18:20.780676,0 days 02:04:51.497134000,128,0.0,0.003213330915903529,1,64,,COMPLETE
77,0.36282476084558246,2020-09-15 02:15:19.079095,2020-09-15 04:19:02.848055,0 days 02:03:43.768960000,128,0.0,0.0036151574552087105,1,64,,COMPLETE
78,0.36379773832247303,2020-09-15 02:49:56.056455,2020-09-15 04:53:11.426408,0 days 02:03:15.369953000,128,0.0,0.0036766604744322127,1,64,,COMPLETE
79,0.35820368293024624,2020-09-15 03:06:17.996279,2020-09-15 05:04:33.141075,0 days 01:58:15.144796000,128,0.0,0.003473135231908779,1,64,,COMPLETE
